time_boscia,seed,n0,m0,M,solution_boscia,termination_boscia,lb_boscia,rel_gap_boscia,termination_afw,time_afw,rel_gap_afw,termination_no_ws,time_no_ws,rel_gap_no_ws,termination_no_as,time_no_as,rel_gap_no_as,termination_no_ss,time_no_ss,rel_gap_no_ss,termination_loc_ti,time_loc_ti,rel_gap_loc_ti,termination_gl_ti,time_gl_ti,rel_gap_gl_ti,termination_no_ti,time_no_ti,rel_gap_no_ti,termination_scip,solution_scip,time_scip,optimal_scip,optimal_boscia,rel_gap_scip
65.845,4,9,90,20.0,2.3463650881426505,1,2.33866077076327,0.0032943287353582387,1,53.348,0.005362948021848652,1,55.269,1.86689382703089e-5,1,75.405,1.86689382703089e-5,1,53.859,0.005343025027304002,1,68.364,0.0032943287353582387,1,67.86,0.0032943287353582387,1,67.938,0.0032943287353582387,1,2.346365325938651,0.134719,1,1,0.003
59.4,5,9,90,20.0,3.5005488953510326,1,3.5005488953510326,0.0,1,59.373,0.02159277107343257,1,91.429,0.0,1,70.183,0.0010542415143695073,1,84.5,0.0010542415143695073,1,61.45,0.0,1,56.578,0.0,1,56.844,0.0,1,3.500548994309736,0.185554,1,1,0.0
230.063,6,9,90,20.0,3.871318854067899,1,3.871318854067899,0.0,1,105.197,0.008980796226992323,1,128.065,0.00378322842462446,1,102.995,0.00378322842462446,1,156.996,0.0034249364365160854,1,223.047,0.0,1,218.967,0.0,1,218.478,0.0,1,3.8713161202080055,0.142337,1,1,-0.0
96.492,7,9,90,20.0,1.0830560732231715,1,1.0713092080266362,0.010964962410967416,1,40.22,0.018554078730797553,1,56.954,0.000605259031140224,1,71.693,0.004336662309302972,1,93.221,0.02246669763090986,1,92.147,0.010964962410967416,1,92.58,0.010964962410967416,1,92.328,0.010964962410967416,1,1.0812725838167576,0.09190999999999999,1,1,0.009
14.172,8,9,90,20.0,9.53777885959563,1,9.486589998350915,0.005395917948769028,1,39.101,0.009290006623648303,1,11.148,0.00906135691289567,1,13.202,0.009169238215947083,1,11.419,0.005381385128955466,1,13.502,0.005395917948769028,1,13.67,0.005395917948769028,1,13.541,0.005395917948769028,1,9.525421467783705,0.132803,1,1,0.004
112.561,9,9,90,20.0,-0.1672865197301422,1,-0.1706471898973997,0.020089306494502676,1,51.842,0.12379624858721938,1,102.295,0.008534742698574007,1,114.889,0.020089306494502676,1,136.227,0.020089306494502676,1,111.263,0.020089306494502676,1,110.415,0.020089306494502676,1,116.844,0.020089306494502676,1,-0.16728640943560658,0.101778,1,1,0.02
90.939,10,9,90,20.0,6.121167776427199,1,6.104531773846478,0.002725188957487929,1,71.206,0.008918032181557263,1,108.022,0.007401340461157977,1,109.896,0.009783124549479012,1,55.022,0.009428726069261813,1,90.519,0.002725188957487929,1,92.47,0.002725188957487929,1,110.045,0.002725188957487929,1,6.115068066036281,0.143527,1,1,0.002
441.081,1,10,100,20.0,5.828919940085547,1,5.774521323338044,0.00942045473581469,1,167.729,0.00832851689729484,1,415.571,0.009924781598193324,1,387.356,0.005278389941045236,1,435.176,0.008227132612851754,1,411.536,0.00942045473581469,1,399.068,0.00942045473581469,1,477.186,0.00942045473581469,1,5.712069576879376,0.202624,1,0,-0.011
269.967,2,10,100,20.0,5.8327523247064335,1,5.791613722047442,0.007103133018416846,1,141.554,0.008105608457006312,1,266.806,0.008085773607788168,1,368.867,0.007656307120835167,1,286.766,0.004944831359199133,1,248.167,0.007103133018416846,1,248.467,0.007103133018416846,1,296.146,0.007103133018416846,1,5.83265358876814,0.121969,1,1,0.007
153.786,3,10,100,20.0,2.147044156110765,1,2.1408510316583858,0.0028928329719334796,1,58.827,0.021453085384723167,1,135.082,0.011288108568808145,1,183.771,0.08012288739688923,1,156.685,0.0525163958436407,1,148.328,0.0028928329719334796,1,148.285,0.0028928329719334796,1,178.142,0.0028928329719334796,1,2.1463834450946884,0.14812,1,1,0.003
132.809,4,10,100,20.0,1.8355567286570873,1,1.8251252384303696,0.00571549283691291,1,133.075,7.6126233498664856e-6,1,78.134,0.00027332760417749023,1,130.168,0.00027332760417749023,1,162.972,0.008199736133947744,1,132.3,0.00571549283691291,1,131.903,0.00571549283691291,1,144.916,0.00571549283691291,1,1.835557080112613,0.146424,1,1,0.006
367.449,5,10,100,20.0,3.7789272769962583,1,3.7455585548206516,0.008908877457718588,1,90.273,0.009463879561800028,1,177.785,0.008086496302236767,1,217.662,0.00051072428648124,1,257.24,0.003284506859778944,1,366.582,0.008908877457718588,1,350.726,0.008908877457718588,1,401.102,0.008908877457718588,1,3.778405034780241,0.131234,1,1,0.009
308.794,6,10,100,20.0,4.090223405318661,1,4.05257213280997,0.00929071001694543,1,200.006,0.004282054941747666,1,371.465,0.0057308281166553714,1,369.58,0.005216812533824886,1,416.258,0.007197310678681703,1,299.586,0.00929071001694543,1,298.68,0.00929071001694543,1,317.772,0.00929071001694543,1,4.090223806798286,0.14288499999999998,1,1,0.009
198.942,7,10,100,20.0,1.5345277422857992,1,1.5198511647427178,0.009656588673645529,1,76.885,0.0133256296590992,1,240.18,0.009307664477680532,1,275.543,0.01659559306687758,1,168.317,0.017075451526522917,1,193.928,0.009656588673645529,1,190.625,0.009656588673645529,1,192.375,0.009656588673645529,1,1.5345280229760467,0.135799,1,1,0.01
26.07,8,10,100,20.0,9.448883464104512,1,9.355486072948107,0.00998316821041166,1,80.171,0.009358260045954627,1,18.744,0.009119138838552778,1,13.6,0.009119130539297592,1,17.827,0.009300386107656532,1,25.357,0.00998316821041166,1,24.885,0.00998316821041166,1,25.035,0.00998316821041166,1,9.386544692458788,0.16069999999999998,1,1,0.003
130.032,9,10,100,20.0,-0.5486771441142742,1,-0.5487478566808728,0.00012887827998153724,1,82.774,0.0031341393225159963,1,116.541,0.00012887827998153724,1,136.315,0.00012887827998153724,1,148.742,0.00012887827998153724,1,128.263,0.00012887827998153724,1,125.403,0.00012887827998153724,1,125.667,0.00012887827998153724,1,-0.5486769962914584,0.158018,1,1,0.0
65.201,10,10,100,20.0,7.157957775146258,1,7.092526829298555,0.009225336388917748,1,116.499,0.008128082648138269,1,421.005,0.009772656576701365,1,328.545,0.008327906135555138,1,203.328,0.009270620524090495,1,64.229,0.009225336388917748,1,63.315,0.009225336388917748,1,65.273,0.009225336388917748,1,7.1571559737963835,0.18627,1,1,0.009
557.552,1,11,110,20.0,5.753685147634899,1,5.6981150668441245,0.009752361989690681,1,1083.638,0.007000923645480275,1,935.444,0.00971537370665874,1,636.942,0.008781460941166417,1,681.3,0.007963909634263766,1,531.331,0.009752361989690681,1,540.354,0.009752361989690681,1,537.655,0.009752361989690681,1,5.753685337125548,0.17655099999999999,1,1,0.01
578.169,2,11,110,20.0,5.630144351514245,1,5.586931883413729,0.007734561473499201,1,557.639,0.008847605421172884,1,846.238,0.009910090773441602,1,863.137,0.00886960410650891,1,535.396,0.007758360010045132,1,541.838,0.007734561473499201,1,554.823,0.007734561473499201,1,552.394,0.007734561473499201,1,5.630124604248149,0.175572,1,1,0.008
396.57,3,11,110,20.0,1.8446663606336882,1,1.8210122650373295,0.012989531180271198,1,257.121,0.007423282782536955,1,580.531,0.023701472257788667,1,493.715,0.007953889496185558,1,263.392,0.023701472257788667,1,377.896,0.012989531180271198,1,377.432,0.012989531180271198,1,375.063,0.012989531180271198,1,1.8446495897580324,0.179744,1,1,0.013
488.946,4,11,110,20.0,1.2226068606986158,1,1.2021344487770955,0.017030051790252246,1,228.891,0.068004074025,1,687.968,4.277772285218387,1,764.328,0.011858035647879595,1,354.379,0.009877997402960196,1,475.009,0.017030051790252246,1,470.543,0.017030051790252246,1,470.542,0.017030051790252246,1,1.2222044600007793,0.17239,1,1,0.017
305.744,5,11,110,20.0,3.8819685611384855,1,3.8437110454206076,0.009953275692629887,1,75.054,0.005253723787766881,1,287.974,0.009554699758328889,1,396.692,0.008807111773320081,1,275.689,0.00810158719113765,1,289.544,0.009953275692629887,1,296.275,0.009953275692629887,1,296.07,0.009953275692629887,1,3.8819688878494225,0.178974,1,1,0.01
801.328,6,11,110,20.0,4.526489212617733,1,4.484590165519456,0.009342893230339136,1,936.398,0.00920886094429932,1,1382.716,0.008293477592403363,1,1144.445,0.007101305136904722,1,515.366,0.009725472192885012,1,793.261,0.009342893230339136,1,776.25,0.009342893230339136,1,773.418,0.009342893230339136,1,4.52648936446561,0.173756,1,1,0.009
364.395,7,11,110,20.0,1.1829563863884471,1,1.1826856146264015,0.00022894652534615495,1,141.856,0.055498367968478214,1,368.507,0.022121932708011986,1,371.116,0.009643829122331304,1,299.939,0.016473409548816365,1,346.88,0.00022894652534615495,1,354.819,0.00022894652534615495,1,347.746,0.00022894652534615495,1,1.1829449264668954,0.183647,1,1,0.0
39.549,8,11,110,20.0,10.494354405441975,1,10.401774096846625,0.008900434457946598,1,727.222,0.00938361410191648,1,40.355,0.009425064751768781,1,39.158,0.009425064751768781,1,28.923,0.0099915295879821,1,38.02,0.008900434457946598,1,38.066,0.008900434457946598,1,37.802,0.008900434457946598,1,10.419191746011975,0.187782,1,1,0.002
199.313,9,11,110,20.0,0.6362265437186527,1,0.6311356144805298,0.008066300049179026,1,95.296,4.640090726741373e-5,1,194.145,8.119629245679913e-5,1,158.727,8.119629245679913e-5,1,216.486,0.00938510845328396,1,192.872,0.008066300049179026,1,193.003,0.008066300049179026,1,196.765,0.008066300049179026,1,0.6362269213104161,0.19541599999999998,1,1,0.008
311.983,10,11,110,20.0,8.026147110434103,1,7.95615693691369,0.008796982522514587,1,233.512,0.007844587924823428,1,281.12,0.009614618959888986,1,377.555,0.009858714200181093,1,355.206,0.009011625375186284,1,303.033,0.008796982522514587,1,303.196,0.008796982522514587,1,300.195,0.008796982522514587,1,8.023869311135876,0.192077,1,1,0.009
