seed,dimension,p,k,time,lowerBound,upperBound,termination,LMOcalls,openNodes
1,30,150,6.0,1.287122e6,3.5482265739699264,3.6177972196873176,Time limit reached,32858,900
1,30,150,6.0,1.289879e6,3.5482265739699264,3.6177972196873176,Time limit reached,32885,901
1,30,150,6.0,1.293489e6,3.5482444363670456,3.6177972196873176,Time limit reached,32931,900
1,30,150,6.0,1.295038e6,3.5482444363670456,3.6177972196873176,Time limit reached,32954,901
1,30,150,6.0,1.296349e6,3.548353339717774,3.6177972196873176,Time limit reached,32975,900
1,30,150,6.0,1.29883e6,3.548353339717774,3.6177972196873176,Time limit reached,33014,901
1,30,150,6.0,1.303725e6,3.548429931591178,3.6177972196873176,Time limit reached,33063,900
1,30,150,6.0,1.306694e6,3.548429931591178,3.6177972196873176,Time limit reached,33099,901
1,30,150,6.0,1.31057e6,3.548518121444518,3.6177972196873176,Time limit reached,33140,902
1,30,150,6.0,1.312754e6,3.548518121444518,3.6177972196873176,Time limit reached,33172,903
1,30,150,6.0,1.315294e6,3.5485341929443703,3.6177972196873176,Time limit reached,33205,904
1,30,150,6.0,1.317926e6,3.5485341929443703,3.6177972196873176,Time limit reached,33241,905
1,30,150,6.0,1.32149e6,3.5489702279978053,3.6177972196873176,Time limit reached,33278,904
1,30,150,6.0,1.322256e6,3.5489702279978053,3.6177972196873176,Time limit reached,33297,905
1,30,150,6.0,1.324277e6,3.549086695843257,3.6177972196873176,Time limit reached,33332,904
1,30,150,6.0,1.326358e6,3.549086695843257,3.6177972196873176,Time limit reached,33373,905
1,30,150,6.0,1.327949e6,3.549104857593682,3.6177972196873176,Time limit reached,33402,904
1,30,150,6.0,1.33037e6,3.549104857593682,3.6177972196873176,Time limit reached,33437,905
1,30,150,6.0,1.333546e6,3.5492096953531664,3.6177972196873176,Time limit reached,33477,906
1,30,150,6.0,1.33459e6,3.5492096953531664,3.6177972196873176,Time limit reached,33505,907
1,30,150,6.0,1.339489e6,3.549385274940996,3.6177972196873176,Time limit reached,33541,906
1,30,150,6.0,1.340698e6,3.549385274940996,3.6177972196873176,Time limit reached,33556,907
1,30,150,6.0,1.342566e6,3.549495056822686,3.6177972196873176,Time limit reached,33585,906
1,30,150,6.0,1.343756e6,3.549495056822686,3.6177972196873176,Time limit reached,33607,907
1,30,150,6.0,1.345633e6,3.5500370654270546,3.6177972196873176,Time limit reached,33645,906
1,30,150,6.0,1.346942e6,3.5500370654270546,3.6177972196873176,Time limit reached,33675,907
1,30,150,6.0,1.34995e6,3.5503563754437457,3.6177972196873176,Time limit reached,33715,908
1,30,150,6.0,1.351094e6,3.5503563754437457,3.6177972196873176,Time limit reached,33735,909
1,30,150,6.0,1.354677e6,3.550379703881525,3.6177972196873176,Time limit reached,33754,908
1,30,150,6.0,1.355842e6,3.550379703881525,3.6177972196873176,Time limit reached,33775,909
1,30,150,6.0,1.360057e6,3.550407055295528,3.6177972196873176,Time limit reached,33801,908
1,30,150,6.0,1.362034e6,3.550407055295528,3.6177972196873176,Time limit reached,33828,909
1,30,150,6.0,1.366101e6,3.550448804693205,3.6177972196873176,Time limit reached,33861,908
1,30,150,6.0,1.368158e6,3.550448804693205,3.6177972196873176,Time limit reached,33888,909
1,30,150,6.0,1.371373e6,3.5504497740594783,3.6177972196873176,Time limit reached,33929,908
1,30,150,6.0,1.373339e6,3.5504497740594783,3.6177972196873176,Time limit reached,33962,909
1,30,150,6.0,1.376161e6,3.550622981373863,3.6177972196873176,Time limit reached,34002,908
1,30,150,6.0,1.377922e6,3.550622981373863,3.6177972196873176,Time limit reached,34030,909
1,30,150,6.0,1.380033e6,3.550809205393324,3.6177972196873176,Time limit reached,34072,908
1,30,150,6.0,1.381014e6,3.550809205393324,3.6177972196873176,Time limit reached,34089,909
1,30,150,6.0,1.383029e6,3.5509294399604534,3.6177972196873176,Time limit reached,34127,908
1,30,150,6.0,1.384442e6,3.5509294399604534,3.6177972196873176,Time limit reached,34152,909
1,30,150,6.0,1.387757e6,3.55094608626197,3.6177972196873176,Time limit reached,34201,908
1,30,150,6.0,1.388761e6,3.55094608626197,3.6177972196873176,Time limit reached,34215,909
