seed,dimension,p,k,Ns,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
5,90,90,45.0,1.0,312719.0,0.2594422926573501,0.9999999999999984,Time limit reached,24079,0,0
5,90,90,45.0,1.0,313265.0,0.2594422926573501,0.9999999999999984,Time limit reached,24121,0,0
5,90,90,45.0,1.0,313941.0,0.2594442182915753,0.9999999999999984,Time limit reached,24174,0,0
5,90,90,45.0,1.0,314476.0,0.2594442182915753,0.9999999999999984,Time limit reached,24213,0,0
5,90,90,45.0,1.0,315088.0,0.25944546723492645,0.9999999999999984,Time limit reached,24259,0,0
5,90,90,45.0,1.0,315631.0,0.25944546723492645,0.9999999999999984,Time limit reached,24299,0,0
5,90,90,45.0,1.0,316328.0,0.259446053699817,0.9999999999999984,Time limit reached,24351,0,0
5,90,90,45.0,1.0,316964.0,0.259446053699817,0.9999999999999984,Time limit reached,24395,0,0
5,90,90,45.0,1.0,317578.0,0.2594464019781566,0.9999999999999984,Time limit reached,24442,0,0
5,90,90,45.0,1.0,318260.0,0.2594464019781566,0.9999999999999984,Time limit reached,24492,0,0
5,90,90,45.0,1.0,318859.0,0.25944723597107533,0.9999999999999984,Time limit reached,24536,0,0
5,90,90,45.0,1.0,319352.0,0.25944723597107533,0.9999999999999984,Time limit reached,24573,0,0
5,90,90,45.0,1.0,319938.0,0.25944803701484825,0.9999999999999984,Time limit reached,24615,0,0
5,90,90,45.0,1.0,320616.0,0.25944803701484825,0.9999999999999984,Time limit reached,24665,0,0
5,90,90,45.0,1.0,321241.0,0.2594488704630706,0.9999999999999984,Time limit reached,24710,0,0
5,90,90,45.0,1.0,321915.0,0.2594488704630706,0.9999999999999984,Time limit reached,24760,0,0
5,90,90,45.0,1.0,322662.0,0.25944976424112215,0.9999999999999984,Time limit reached,24815,0,0
5,90,90,45.0,1.0,323031.0,0.25944976424112215,0.9999999999999984,Time limit reached,24847,0,0
5,90,90,45.0,1.0,323615.0,0.25944978116051276,0.9999999999999984,Time limit reached,24889,0,0
5,90,90,45.0,1.0,324283.0,0.25944978116051276,0.9999999999999984,Time limit reached,24939,0,0
5,90,90,45.0,1.0,324890.0,0.25944978116051276,0.9999999999999984,Time limit reached,24985,0,0
5,90,90,45.0,1.0,325539.0,0.25944978116051276,0.9999999999999984,Time limit reached,25033,0,0
5,90,90,45.0,1.0,326220.0,0.2594500884990702,0.9999999999999984,Time limit reached,25083,0,0
5,90,90,45.0,1.0,326893.0,0.2594500884990702,0.9999999999999984,Time limit reached,25133,0,0
5,90,90,45.0,1.0,327625.0,0.2594500884990702,0.9999999999999984,Time limit reached,25187,0,0
5,90,90,45.0,1.0,328312.0,0.2594500884990702,0.9999999999999984,Time limit reached,25235,0,0
