seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,openNodes,localTighteings,globalTightenings
1,25,5.0,125,1.0,5,44940.0,0.36862658559485767,0.6157106905737074,OPTIMAL,2002,2,0,0
1,25,5.0,125,1.0,5,45779.0,0.36862658559485767,0.6157106905737074,OPTIMAL,2033,3,0,0
1,25,5.0,125,1.0,5,45812.0,0.3751729270142914,0.6157106905737074,OPTIMAL,2037,2,0,0
1,25,5.0,125,1.0,5,46662.0,0.3751729270142914,0.6157106905737074,OPTIMAL,2071,3,0,0
1,25,5.0,125,1.0,5,46677.0,0.38359701627030474,0.6157106905737074,OPTIMAL,2075,2,0,0
1,25,5.0,125,1.0,5,47435.0,0.38359701627030474,0.6157106905737074,OPTIMAL,2103,3,0,0
1,25,5.0,125,1.0,5,47450.0,0.4002799109313254,0.6157106905737074,OPTIMAL,2107,2,0,0
1,25,5.0,125,1.0,5,48303.0,0.4002799109313254,0.6157106905737074,OPTIMAL,2139,3,0,0
1,25,5.0,125,1.0,5,48321.0,0.40040644845790796,0.6157106905737074,OPTIMAL,2144,2,0,0
1,25,5.0,125,1.0,5,49144.0,0.40040644845790796,0.6157106905737074,OPTIMAL,2178,3,0,0
1,25,5.0,125,1.0,5,49158.0,0.40041273954800105,0.6157106905737074,OPTIMAL,2182,2,0,0
1,25,5.0,125,1.0,5,49950.0,0.40041273954800105,0.6157106905737074,OPTIMAL,2215,3,0,0
1,25,5.0,125,1.0,5,49965.0,0.4004968049390355,0.6157106905737074,OPTIMAL,2219,2,0,0
1,25,5.0,125,1.0,5,50667.0,0.4004968049390355,0.6157106905737074,OPTIMAL,2250,3,0,0
1,25,5.0,125,1.0,5,50683.0,0.4070876865898159,0.6157106905737074,OPTIMAL,2254,2,0,0
1,25,5.0,125,1.0,5,51506.0,0.4070876865898159,0.6157106905737074,OPTIMAL,2286,3,0,0
1,25,5.0,125,1.0,5,51520.0,0.41446996909437944,0.6157106905737074,OPTIMAL,2290,2,0,0
1,25,5.0,125,1.0,5,52287.0,0.41446996909437944,0.6157106905737074,OPTIMAL,2322,3,0,0
1,25,5.0,125,1.0,5,52302.0,0.414533261108366,0.6157106905737074,OPTIMAL,2326,2,0,0
1,25,5.0,125,1.0,5,52961.0,0.414533261108366,0.6157106905737074,OPTIMAL,2359,3,0,0
