seed,dimension,time_boscia,solution_boscia,termination_boscia,time_scip,solution_scip,termination_scip,ncalls_scip
1,55,42.841,-0.3715022880738289,OPTIMAL,1800.000243,42.24757926649417,TIME_LIMIT,17590.0
2,55,38.51,-0.43654689554822773,OPTIMAL,1800.239802,-0.43654653008012384,TIME_LIMIT,19931.0
3,55,503.992,-9.774816314881376,OPTIMAL,1800.000704,-8.063494397633157,TIME_LIMIT,20286.0
4,55,137.178,-0.49931101176797843,OPTIMAL,1800.003188,9.47561635637456,TIME_LIMIT,14383.0
5,55,54.602,-0.6678913144155714,OPTIMAL,1800.082734,15.013359527809046,TIME_LIMIT,23757.0
6,55,47.376,-0.5071732620801992,OPTIMAL,1800.00066,22.348427282189434,TIME_LIMIT,16320.0
7,55,31.448,-0.07066400005880102,OPTIMAL,1800.000775,74.69546723664975,TIME_LIMIT,20971.0
8,55,24.498,-0.20585926256565096,OPTIMAL,1800.007647,57.378510656559556,TIME_LIMIT,20481.0
9,55,41.162,-0.33950426537653494,OPTIMAL,1135.627991,-0.33950388584222674,OPTIMAL,22956.0
10,55,36.277,-0.2055763513459312,Optimal (tree empty),1800.00036,34.29888105041397,TIME_LIMIT,25273.0
1,60,37.456,-0.20061002656754678,OPTIMAL,1800.004375,171.04537749829436,TIME_LIMIT,25507.0
2,60,116.932,-0.5574431322753173,OPTIMAL,1800.066045,29.955346059427924,TIME_LIMIT,14735.0
3,60,67.707,-0.5420020382365006,OPTIMAL,1800.001191,62.1476030637677,TIME_LIMIT,21965.0
4,60,1332.796,-11.86391049706554,OPTIMAL,1800.038675,0.392472136202592,TIME_LIMIT,23095.0
5,60,242.645,-0.7346714970853696,OPTIMAL,1800.048274,15.968298885353272,TIME_LIMIT,17469.0
6,60,51.379,-0.3735903360594899,OPTIMAL,1800.006544,30.897796897939564,TIME_LIMIT,14363.0
7,60,45.94,-0.7475508138906092,OPTIMAL,1800.070593,24.22825069347474,TIME_LIMIT,16294.0
8,60,45.724,-0.43645666866728666,OPTIMAL,1800.000735,37.10444356109732,TIME_LIMIT,15488.0
9,60,31.71,-0.11493894999814208,OPTIMAL,1800.020416,94.61949878996312,TIME_LIMIT,14952.0
10,60,1800.362,-1.183541794012799,Time limit reached,1800.007543,8.05682112594128,TIME_LIMIT,21224.0
1,65,37.931,-0.11508688561114927,OPTIMAL,1800.006647,173.2073710518599,TIME_LIMIT,18703.0
2,65,52.16,-0.2101867919784023,OPTIMAL,1800.000355,138.16907717565155,TIME_LIMIT,14135.0
3,65,36.152,-0.24032260066225136,OPTIMAL,1800.000654,258.36175606192336,TIME_LIMIT,20686.0
4,65,183.119,-0.9459281354583706,OPTIMAL,1800.101749,23.908683453366773,TIME_LIMIT,18043.0
5,65,224.315,-0.8178468364301296,OPTIMAL,1800.119587,28.21248253475956,TIME_LIMIT,17512.0
6,65,44.047,-0.24014289598933491,OPTIMAL,1800.152632,89.66318412009021,TIME_LIMIT,15765.0
7,65,47.039,-0.27826541468167504,OPTIMAL,1800.00922,186.30274440199787,TIME_LIMIT,28014.0
8,65,99.786,-0.5713142879881478,OPTIMAL,1800.092341,26.912563660684484,TIME_LIMIT,12664.0
9,65,35.8,-0.0794492504845758,OPTIMAL,1800.558211,83.1598618165567,TIME_LIMIT,12610.0
10,65,89.965,-0.9792907657990708,OPTIMAL,1800.04654,11.459885944687919,TIME_LIMIT,18378.0
1,70,78.263,-0.3960287013394008,OPTIMAL,1800.042686,480.07988014778334,TIME_LIMIT,21741.0
2,70,73.911,-0.351351171693374,OPTIMAL,1800.001782,207.3905468237361,TIME_LIMIT,24840.0
3,70,73.84,-0.11200773758585181,OPTIMAL,1800.021037,193.0365153797678,TIME_LIMIT,12976.0
4,70,1800.814,-21.125594863785047,Time limit reached,1800.148003,-32.14187013741517,TIME_LIMIT,27737.0
5,70,43.919,-0.1522789321883088,OPTIMAL,1800.159714,90.8991694133898,TIME_LIMIT,14035.0
6,70,34.673,0.10754995648616572,OPTIMAL,-Inf,Inf,OPTIMIZE_NOT_CALLED,-Inf
