seed,dimension,var_A,p,k,M,time,lowerBound,upperBound,termination,LMOcalls,localTighteings,globalTightenings
7,15,5,75,15.0,1.0,66637.0,0.2556247634247859,0.38381647866821245,Time limit reached,9438,0,0
7,15,5,75,15.0,1.0,67056.0,0.2556247634247859,0.38381647866821245,Time limit reached,9487,0,0
7,15,5,75,15.0,1.0,67135.0,0.2556279603512358,0.38381647866821245,Time limit reached,9507,0,0
7,15,5,75,15.0,1.0,67507.0,0.2556279603512358,0.38381647866821245,Time limit reached,9570,0,0
7,15,5,75,15.0,1.0,68075.0,0.2556294615258043,0.38381647866821245,Time limit reached,9665,0,0
7,15,5,75,15.0,1.0,68478.0,0.2556294615258043,0.38381647866821245,Time limit reached,9697,0,0
7,15,5,75,15.0,1.0,68624.0,0.2556344618564992,0.37952440429666867,Time limit reached,9731,0,0
7,15,5,75,15.0,1.0,69011.0,0.2556344618564992,0.37952440429666867,Time limit reached,9793,0,0
7,15,5,75,15.0,1.0,69671.0,0.2557000265748577,0.37952440429666867,Time limit reached,9889,0,0
7,15,5,75,15.0,1.0,69970.0,0.2557000265748577,0.37952440429666867,Time limit reached,9944,0,0
7,15,5,75,15.0,1.0,70340.0,0.25574897096997146,0.37952440429666867,Time limit reached,10013,0,0
7,15,5,75,15.0,1.0,70726.0,0.25574897096997146,0.37952440429666867,Time limit reached,10081,0,0
7,15,5,75,15.0,1.0,71176.0,0.25574897096997146,0.37952440429666867,Time limit reached,10162,0,0
7,15,5,75,15.0,1.0,71553.0,0.25574897096997146,0.37952440429666867,Time limit reached,10227,0,0
7,15,5,75,15.0,1.0,72057.0,0.25576014838501265,0.37952440429666867,Time limit reached,10314,0,0
7,15,5,75,15.0,1.0,72265.0,0.25576014838501265,0.37952440429666867,Time limit reached,10357,0,0
7,15,5,75,15.0,1.0,72509.0,0.25576066374101375,0.37952440429666867,Time limit reached,10406,0,0
7,15,5,75,15.0,1.0,72963.0,0.25576066374101375,0.37952440429666867,Time limit reached,10477,0,0
7,15,5,75,15.0,1.0,73679.0,0.2557613075163193,0.37952440429666867,Time limit reached,10577,0,0
7,15,5,75,15.0,1.0,73915.0,0.2557613075163193,0.37952440429666867,Time limit reached,10622,0,0
7,15,5,75,15.0,1.0,74170.0,0.25577825761188316,0.37952440429666867,Time limit reached,10672,0,0
7,15,5,75,15.0,1.0,74444.0,0.25577825761188316,0.37952440429666867,Time limit reached,10724,0,0
7,15,5,75,15.0,1.0,74777.0,0.25580116402369724,0.37952440429666867,Time limit reached,10789,0,0
7,15,5,75,15.0,1.0,75247.0,0.25580116402369724,0.37952440429666867,Time limit reached,10857,0,0
