seed,num_v,time,lowerBound,upperBound,termination,LMOcalls
1,4,229481.0,-310.43841779292956,-299.1694512809974,Time limit reached,7086
1,4,229953.0,-310.43841779292956,-299.1694512809974,Time limit reached,7101
1,4,230633.0,-310.43841779292956,-299.1694512809974,Time limit reached,7122
1,4,230858.0,-310.43841779292956,-299.1694512809974,Time limit reached,7130
1,4,231421.0,-310.43841779292956,-299.1694512809974,Time limit reached,7149
1,4,231953.0,-310.43841779292956,-299.1694512809974,Time limit reached,7166
1,4,232557.0,-310.43841779292956,-299.1694512809974,Time limit reached,7184
1,4,233022.0,-310.43841779292956,-299.1694512809974,Time limit reached,7198
1,4,233528.0,-310.43841779292956,-299.1694512809974,Time limit reached,7215
1,4,233912.0,-310.43841779292956,-299.1694512809974,Time limit reached,7228
1,4,234491.0,-310.43841779292956,-299.1694512809974,Time limit reached,7246
1,4,234878.0,-310.43841779292956,-299.1694512809974,Time limit reached,7260
1,4,235412.0,-310.43841779292956,-299.1694512809974,Time limit reached,7278
1,4,235909.0,-310.43841779292956,-299.1694512809974,Time limit reached,7295
1,4,236290.0,-310.43841779292956,-299.1694512809974,Time limit reached,7308
1,4,236749.0,-310.43841779292956,-299.1694512809974,Time limit reached,7322
1,4,237251.0,-310.43841779292956,-299.1694512809974,Time limit reached,7340
1,4,237683.0,-310.43841779292956,-299.1694512809974,Time limit reached,7353
1,4,238238.0,-310.43841779292956,-299.1694512809974,Time limit reached,7372
1,4,238947.0,-310.43841779292956,-299.1694512809974,Time limit reached,7395
1,4,239440.0,-310.43841779292956,-299.1694512809974,Time limit reached,7411
1,4,239848.0,-310.43841779292956,-299.1694512809974,Time limit reached,7425
1,4,240336.0,-310.43841779292956,-299.1694512809974,Time limit reached,7441
1,4,240970.0,-310.43841779292956,-299.1694512809974,Time limit reached,7460
1,4,241418.0,-310.43841779292956,-299.1694512809974,Time limit reached,7475
1,4,241643.0,-310.43841779292956,-299.1694512809974,Time limit reached,7483
1,4,242272.0,-310.43841779292956,-299.1694512809974,Time limit reached,7502
1,4,242950.0,-310.43841779292956,-299.1694512809974,Time limit reached,7521
1,4,243330.0,-310.43841779292956,-299.1694512809974,Time limit reached,7535
1,4,243777.0,-310.43841779292956,-299.1694512809974,Time limit reached,7549
1,4,244255.0,-310.43841779292956,-299.1694512809974,Time limit reached,7564
1,4,244701.0,-310.43841779292956,-299.1694512809974,Time limit reached,7576
1,4,245231.0,-310.43841779292956,-299.1694512809974,Time limit reached,7593
1,4,245912.0,-310.43841779292956,-299.1694512809974,Time limit reached,7614
1,4,246495.0,-310.43841779292956,-299.1694512809974,Time limit reached,7633
1,4,246871.0,-310.43841779292956,-299.1694512809974,Time limit reached,7646
1,4,247373.0,-310.43841779292956,-299.1694512809974,Time limit reached,7662
1,4,247612.0,-310.43841779292956,-299.1694512809974,Time limit reached,7670
1,4,248074.0,-310.43841779292956,-299.1694512809974,Time limit reached,7685
1,4,248698.0,-310.43841779292956,-299.1694512809974,Time limit reached,7704
1,4,249087.0,-310.43841779292956,-299.1694512809974,Time limit reached,7717
1,4,249626.0,-310.43841779292956,-299.1694512809974,Time limit reached,7734
1,4,249938.0,-310.43841779292956,-299.1694512809974,Time limit reached,7745
1,4,250459.0,-310.43841779292956,-299.1694512809974,Time limit reached,7761
1,4,250919.0,-310.43841779292956,-299.1694512809974,Time limit reached,7777
1,4,251323.0,-310.43841779292956,-299.1694512809974,Time limit reached,7791
1,4,251847.0,-310.43841779292956,-299.1694512809974,Time limit reached,7809
1,4,252366.0,-310.43841779292956,-299.1694512809974,Time limit reached,7825
1,4,252889.0,-310.43841779292956,-299.1694512809974,Time limit reached,7841
1,4,253753.0,-310.43841779292956,-299.1694512809974,Time limit reached,7868
