seed,dimension,solution,dual_gap,rel_dual_gap,ncalls,termination,time
6,80,5.506135661055845,0.05362555808224734,0.009835022231871141,214067,OPTIMAL,1517.692
6,85,11.42831227230554,0.10678516718172304,0.009432046241658951,97533,OPTIMAL,733.124
6,90,18.185742562976927,0.17266471201071099,0.009585519667392616,58824,OPTIMAL,514.996
6,95,8.969032402525135,6.4656600631563235,2.582780020964258,176899,Time limit reached,1800.018
6,100,30.71444381615608,0.30100786062079266,0.009897200075021737,105492,OPTIMAL,963.94
6,105,11.26227722768438,0.10442229768413291,0.009358635538751407,99822,OPTIMAL,801.479
6,110,35.09270500791037,12.3950291865625,0.546092440658818,160697,Time limit reached,1800.011
6,115,-3.910346775979594,9.94949740277934,2.544402829922126,208507,Time limit reached,1800.008
6,120,9.647218333355937,2.0448689772247075,0.2689785593154224,174011,Time limit reached,1800.006
7,20,1.0308683856149163,0.0007173627717889097,0.000696366606334138,3575,OPTIMAL,17.388
7,25,4.055233437085842,0.02575963648872115,0.006392804064119706,2488,OPTIMAL,16.896
7,30,6.586997625277683,0.05700825450896918,0.008730221639282413,7427,OPTIMAL,42.317
7,35,1.780976860022543,0.010511612094054712,0.005937203289561146,8741,OPTIMAL,48.89
7,40,5.2592356920605745,0.05159392152991504,0.009907348432044244,6165,OPTIMAL,29.868
7,45,-0.5399877770592774,0.00898445461046471,0.016638255516436325,540744,Time limit reached,1800.115
7,50,3.0724240331621617,1.4062040414314643,0.8439486072729475,329981,Time limit reached,1800.032
7,55,2.772584460167434,0.02708577883502361,0.009865522434663376,101253,OPTIMAL,559.04
7,60,4.908722066306754,0.046935008867031947,0.009653859437387311,30527,OPTIMAL,192.861
7,65,13.91925643146901,0.12182824927811531,0.008829779555248258,20016,OPTIMAL,144.069
7,70,22.01141186405133,0.1676660523366209,0.0076757005772655675,20759,OPTIMAL,167.486
7,75,6.238467577094809,0.05667203084194128,0.00916756796919519,67811,OPTIMAL,445.336
7,80,14.234522631341253,0.13163765360432222,0.009334093968158132,36147,OPTIMAL,300.026
7,85,2.6032704133991933,3.2437944950920867,Inf,210013,Time limit reached,1800.007
7,90,6.634357095521326,2.6715793196652173,0.6741683411929543,202642,Time limit reached,1800.004
7,95,6.084668860881392,3.15970567066873,1.0802548494427382,183561,Time limit reached,1800.003
7,100,8.8061193962182,0.08660986172382401,0.009932882277517496,126187,OPTIMAL,1066.307
7,105,23.8377504420782,0.22843086210918528,0.009675453006404901,108595,OPTIMAL,888.953
7,110,34.02874444633106,0.3133183210754069,0.009293025688342272,115273,OPTIMAL,962.211
7,115,10.372055177712,0.8158757539432955,0.08537677221861284,192007,Time limit reached,1800.006
7,120,21.219554761597536,0.2010290342604506,0.0095643736800716,173870,OPTIMAL,1540.289
8,20,-4.224283350954455,0.040562738346066496,0.009602276877781306,652,OPTIMAL,9.952
8,25,-10.469649572140089,0.1045379461535969,0.009984856267947508,5490,OPTIMAL,129.932
8,30,6.811805195773367,0.046221540178141396,0.0068318629302463185,4095,OPTIMAL,27.294
8,35,4.825911806503888,0.034905804454328226,0.00728569416097491,3680,OPTIMAL,25.54
8,40,1.704739942302636,0.01681620242409343,0.009962655318363772,61896,OPTIMAL,299.136
8,45,-15.206828878120442,0.27291553506056054,0.017946906435781028,113571,Time limit reached,1800.031
8,50,12.448809029591464,0.10052199941408624,0.008140562263286025,20260,OPTIMAL,125.993
8,55,2.5033447011338255,0.019560506580330372,0.007875284263110759,30782,OPTIMAL,193.616
8,60,0.29520696612106256,1.5546155024659383,Inf,296423,Time limit reached,1800.007
8,65,-0.48876588871228854,2.2700919380946445,4.64453839869118,266767,Time limit reached,1800.016
8,70,18.48440502362272,0.16454659581093622,0.00898187049093864,16741,OPTIMAL,127.629
8,75,10.74842082034713,0.09066864932792207,0.008507295710484827,33066,OPTIMAL,248.915
8,80,6.5554976835509295,1.6209650051509659,0.3284941271635409,246276,Time limit reached,1800.004
8,85,-21.786687715949974,5.714972265376783,0.26231487502310263,191928,Time limit reached,1800.015
8,90,26.10741535022613,0.2352669745512621,0.009093445628676951,98163,OPTIMAL,846.965
8,95,5.344341677759064,0.7503824171807745,0.1633411126694049,211552,Time limit reached,1800.034
8,100,4.170408138018768,6.454464664510958,Inf,191716,Time limit reached,1800.004
8,105,3.1206308556787485,7.086073255906425,Inf,175546,Time limit reached,1800.024
8,110,32.290039227186206,0.25577484738476386,0.007984414574103269,74111,OPTIMAL,705.705
8,115,19.35778803997512,0.1894790997633251,0.009885019088242613,126703,OPTIMAL,1207.821
8,120,9.631946946280278,2.73621240573169,0.3967978160473114,176965,Time limit reached,1800.027
9,20,3.281690721113521,0.01412489945137052,0.004322758965628256,3280,OPTIMAL,17.962
9,25,2.502879641257057,0.016559328485437508,0.006660175038741504,4312,OPTIMAL,24.421
9,30,5.928429051887901,0.046776288338481464,0.007952915654655756,2394,OPTIMAL,17.294
9,35,6.4744306833940115,0.044068480095645235,0.006853187845785874,3147,OPTIMAL,22.467
9,40,1.4054397997756456,0.013759223435613421,0.009886768321361986,232668,OPTIMAL,789.968
9,45,11.975023724188636,0.06876543233350318,0.0057755703469447185,4338,OPTIMAL,30.186
9,50,-0.596084546122059,0.005899658277744635,0.00989735150177266,284907,OPTIMAL,1364.213
9,55,8.825817352755093,0.07802670609787121,0.008919590014158308,11126,OPTIMAL,81.479
9,60,17.16879173895233,0.1616229775652691,0.009503226541281617,22610,OPTIMAL,136.198
9,65,12.769778326187105,0.1260746745207797,0.009971340518105564,26886,OPTIMAL,181.074
9,70,19.48677768909249,0.17600077506628153,0.009114121914921246,33755,OPTIMAL,239.14
9,75,18.2335206761404,0.1741560857036255,0.009643533405148084,17245,OPTIMAL,135.13
9,80,4.632755297532656,0.042394527696098194,0.009235554637595005,98871,OPTIMAL,711.771
9,85,23.592236072929932,0.1778937550130486,0.007597640480250542,25040,OPTIMAL,232.335
9,90,3.0352154486409137,5.4074060263365675,Inf,189939,Time limit reached,1800.005
9,95,21.28870112832732,0.20529027980964187,0.009737052571077478,61086,OPTIMAL,535.119
9,100,28.905567883017053,0.27417250620250755,0.009575939369847481,67058,OPTIMAL,577.202
9,105,21.642701570326835,0.21305745724950498,0.009942183646413789,99845,OPTIMAL,740.64
9,110,29.181177527822847,0.2849707453042498,0.00986187382479036,49389,OPTIMAL,481.94
9,115,32.06911322240679,0.3086512092602298,0.009718095698118946,76434,OPTIMAL,687.828
9,120,8.285442736187541,3.960630907884765,0.915792655293183,166344,Time limit reached,1800.287
10,20,3.040937056967797,0.012624920720317512,0.004168962825596185,1431,OPTIMAL,11.479
10,25,3.816539012601858,0.034860089970254915,0.009218151694908144,3325,OPTIMAL,19.473
10,30,2.2298718427704154,0.00933486075151535,0.0042038753810927955,1910,OPTIMAL,16.302
10,35,0.1388525282087789,0.0,0.0,50185,OPTIMAL,211.34
10,40,6.588771683578255,0.05343928320411617,0.008176980133567015,9235,OPTIMAL,56.554
10,45,9.328100522892324,0.06181409473848021,0.006670859488076029,4045,OPTIMAL,21.796
10,50,9.607112863357726,0.08670990822114355,0.009107798128897537,4696,OPTIMAL,38.02
10,55,11.428959697045752,0.06817273568500148,0.006000705401559262,6624,OPTIMAL,51.231
10,60,13.090696723173263,0.12060992195885767,0.009299083638173094,9526,OPTIMAL,74.251
10,65,15.22834365354819,0.08733337986512879,0.005768002153523728,19392,OPTIMAL,139.349
10,70,8.961313282122001,0.08446972976288514,0.009515739380180516,28543,OPTIMAL,208.245
10,75,3.6927948127934918,0.035545034148951604,0.009719061125249532,135726,OPTIMAL,998.924
10,80,16.12715391439087,0.15263366996552108,0.00955482027817304,111126,OPTIMAL,853.674
10,85,18.809986325692375,0.17251906579305754,0.009256572440196979,33001,OPTIMAL,287.998
10,90,24.562848631178824,0.23470580147041176,0.00964750178890761,54899,OPTIMAL,506.661
10,95,23.555332189154413,0.22791514135864688,0.009770269074011469,64130,OPTIMAL,586.506
10,100,21.34886874580209,236.21800824643046,Inf,219352,Time limit reached,1800.01
10,105,25.49136509265291,0.2519482321152573,0.009982331743534993,118954,OPTIMAL,1072.61
10,110,16.021867017006713,0.1482378495043868,0.00933862369721162,158719,OPTIMAL,1520.177
10,115,6.145296041510927,2.4969455455930847,0.684403965130798,184990,Time limit reached,1800.004
10,120,25.631066423562554,0.2522546176370568,0.00993957556272039,172097,OPTIMAL,1548.769
